,Teachings,Period,Professor,Course,Anno,Sede,CAMPUS,PDS_COD,room_size,Partition,k,grappolo,qualifica,k,Course_ID
481,STORIA DEI SISTEMI PRODUTTIVI MUSICALI_EM3,1° Periodo,15402127,EM3,1,,Polo didattico San Basilio (Magazzino 5),E00,5,NO,3,a scelta,Professore Associato,,EM3_E001
482,STORIA DEL TEATRO MUSICALE_FT1,1° Periodo,15402127,FT1,3,,Polo didattico San Basilio (Magazzino 5),T00,3,NO,3,a scelta,Professore Associato,,FT1_T003
483,STORIA DELLA MUSICA MODERNA E CONTEMPORANEA_FT1,2° Periodo,15402127,FT1,3,,Polo didattico San Basilio (Magazzino 5),T00,3,NO,3,a scelta,Professore Associato,,FT1_T003
484,LETTERATURA ITALIANA MODERNA E CONTEMPORANEA I SP_FM7,I Semestre,5591680,FM7,3,VENEZIA,San Sebastiano,GGG,5,NO,3,a scelta,Professore Associato,,FM7_GGG3
485,LETTERATURA ITALIANA MODERNA E CONTEMPORANEA I SP_FM4,I Semestre,5591680,FM4,3,VENEZIA,San Sebastiano,MOD,5,NO,3,a scelta,Professore Associato,,FM4_MOD3
486,LETTERATURA E GIORNALISMO_FM4,II Semestre,5591680,FM4,3,VENEZIA,Polo didattico San Basilio (Architettura temporanea),MOD,5,NO,3,a scelta,Professore Associato,,FM4_MOD3
487,LETTERATURA ITALIANA CONTEMPORANEA_FT3_A-L,3° Periodo,5591680,FT3,3,,San Sebastiano,ANT,5,A-L,3,a scelta,Professore Associato,,FT3_ANT3
488,LETTERATURA ITALIANA CONTEMPORANEA II_FT3,4° Periodo,5591680,FT3,3,,San Sebastiano,MOD,5,NO,3,a scelta,Professore Associato,,FT3_MOD3
489,INTERNATIONAL LAW_ET4,4° Periodo,25535245,ET4,3,VENEZIA,San Giobbe,M00,5,NO,3,a scelta,Ricercatore,,ET4_M003
490,DIRITTO INTERNAZIONALE ED EUROPEO DELLE MIGRAZIONI_FM8,I Semestre,25535245,FM8,1,,San Sebastiano,SSO,5,NO,3,Obbligatorio,Ricercatore,,FM8_SSO1
491,EUROPEAN UNION LAW_LM60,I Semestre,25535245,LM60,2,,Ca' Dolfin - Saoneria,GGG,3,NO,3,Obbligatorio,Ricercatore,,LM60_GGG2
492,GLOBAL HISTORY_LM60,II Semestre,11896864,LM60,1,,Polo didattico San Basilio (Magazzino 5),GGG,5,NO,3,Obbligatorio,Ricercatrice,,LM60_GGG1
493,HISTORY OF GLOBAL RELATIONS_LT6,3° Periodo,11896864,LT6,2,,Cinema Multisala Rossini,GGG,8,NO,3,Obbligatorio,Ricercatrice,,LT6_GGG2
494,POPULATION HISTORY_LT6,4° Periodo,11896864,LT6,3,,Cinema Multisala Rossini,GGG,5,NO,3,a scelta,Ricercatrice,,LT6_GGG3
495,HISTORY OF EUROPEAN CONSTITUTIONALISM_LM60,II Semestre,11896864,LM60,1,,Polo didattico San Basilio (Magazzino 5),GGG,5,NO,3,a scelta,Ricercatrice,,LM60_GGG1
496,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1C_LT40_T-Z,I Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,3,T-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
497,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2A_LT40_M-Z,II Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,M-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
498,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2C_LT40_A-B,II Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-B,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
499,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1D_LT40_O-S,I Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,3,O-S,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
500,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2C_LT40_T-Z,II Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,3,T-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
501,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1C_LT40_O-S,I Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,O-S,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
502,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1C_LT40_H-N,I Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
503,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1D_LT40_C-G,I Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,3,C-G,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
504,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1C_LT40_A-B,I Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-B,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
505,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2C_LT40_O-S,II Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,3,O-S,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
506,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2C_LT40_C-G,II Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,C-G,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
507,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2A_LT40_A-L,II Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-L,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
508,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1C_LT40_C-G,I Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,C-G,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
509,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2C_LT40_H-N,II Semestre,5590197,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
510,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1B_LT40_C-G,I Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,C-G,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
511,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1B_LT40_H-N,I Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
512,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2B_LT40_T-Z,II Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,T-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
513,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1B_LT40_A-B,I Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-B,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
514,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2B_LT40_A-B,II Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-B,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
515,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2B_LT40_O-S,II Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,O-S,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
516,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1B_LT40_T-Z,I Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,T-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
517,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2B_LT40_C-G,II Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,C-G,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
518,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2B_LT40_H-N,II Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
519,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1B_LT40_O-S,I Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,O-S,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
520,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2D_LT40_T-Z,II Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,T-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
521,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1D_LT40_T-Z,I Semestre,9725091,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,T-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
522,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1C_LT40_T-Z,I Semestre,9725091,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,T-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
523,LINGUA GIAPPONESE 2 MOD. 1_LT40_M-R,I Semestre,18139614,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,M-R,3,a scelta,Docente a contratto,,LT40_G2
524,LINGUA GIAPPONESE 2 MOD. 1_LT40_D-L,I Semestre,18139614,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,D-L,3,a scelta,Docente a contratto,,LT40_G2
525,LINGUA AINU MOD.2_LT40,II Semestre,18139614,LT40,2,VENEZIA,San Sebastiano,K,2,NO,3,a scelta,Docente a contratto,,LT40_K2
526,LINGUA AINU MOD.1_LT40,I Semestre,18139614,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,NO,3,a scelta,Docente a contratto,,LT40_C2
527,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2E_LT40_C-G,II Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,C-G,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
528,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2E_LT40_A-B,II Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-B,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
529,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1E_LT40_C-G,I Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,C-G,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
530,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2E_LT40_H-N,II Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
531,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2E_LT40_T-Z,II Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,T-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
532,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1E_LT40_T-Z,I Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,T-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
533,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1D_LT40_A-B,I Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,5,A-B,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
534,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2E_LT40_O-S,II Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,O-S,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
535,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2D_LT40_A-B,II Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-B,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
536,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1E_LT40_H-N,I Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
537,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1E_LT40_O-S,I Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,O-S,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
538,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1E_LT40_A-B,I Semestre,22112882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-B,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
539,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1A_LT40_F-O,I Semestre,22112882,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,F-O,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
540,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 2A_LT40_F-O,II Semestre,22112882,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,F-O,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
541,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 2D_LT40_H-N,II Semestre,5589879,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
542,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1D_LT40_H-N,I Semestre,5589879,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
543,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 2B_LT40_A-B,II Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-B,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
544,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1B_LT40_H-N,I Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,8,H-N,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
545,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1B_LT40_A-B,I Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,8,A-B,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
546,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 2B_LT40_H-N,II Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,H-N,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
547,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1B_LT40_T-Z,I Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,8,T-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
548,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1B_LT40_C-G,I Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,8,C-G,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
549,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1B_LT40_O-S,I Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,8,O-S,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
550,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 2B_LT40_T-Z,II Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,T-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
551,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 2B_LT40_O-S,II Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,O-S,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
552,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 2B_LT40_C-G,II Semestre,5589879,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,C-G,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_G1
553,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1A_LT40_A-L,I Semestre,22112881,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,5,A-L,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
554,ESERCITAZIONI DI LINGUA GIAPPONESE 2 MOD. 1A_LT40_M-Z,I Semestre,22112881,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,5,M-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G2
555,ESERCITAZIONI DI LINGUA GIAPPONESE (TRATTATIVA COMMERCIALE) MOD. 1A_LT40_F-O,I Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,F-O,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
556,ESERCITAZIONI DI LINGUA GIAPPONESE (TRATTATIVA COMMERCIALE) MOD. 1A_LT40_A-E,I Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-E,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
557,ESERCITAZIONI DI LINGUA GIAPPONESE (TRATTATIVA COMMERCIALE) MOD. 1A_LT40_P-Z,I Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,P-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
558,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1C_LM40,I Semestre,22112881,LM40,1,VENEZIA,San Sebastiano,LEIG,2,NO,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LM40_LEIG1
559,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1C_FM10,I Semestre,22112881,FM10,3,VENEZIA,San Sebastiano,O,2,NO,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,FM10_O3
560,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1C_LM20,I Semestre,22112881,LM20,1,VENEZIA,San Sebastiano,G,2,NO,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LM20_G1
561,ESERCITAZIONI DI LINGUA GIAPPONESE 1 MOD. 1E_LM40,I Semestre,22112881,LM40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),LEIG,5,NO,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LM40_LEIG1
562,ESERCITAZIONI DI LINGUA GIAPPONESE 3 MOD.2C_LT40_A-E,II Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-E,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
563,ESERCITAZIONI DI LINGUA GIAPPONESE 3 MOD.2C_LT40_P-Z,II Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,P-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
564,ESERCITAZIONI DI LINGUA GIAPPONESE 3 MOD. 2A_LT40_F-O,II Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,F-O,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
565,ESERCITAZIONI DI LINGUA GIAPPONESE 3 MOD.2C_LT40_F-O,II Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,F-O,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
566,ESERCITAZIONI DI LINGUA GIAPPONESE 3 MOD. 2A_LT40_A-E,II Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,A-E,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
567,ESERCITAZIONI DI LINGUA GIAPPONESE 3 MOD. 2A_LT40_P-Z,II Semestre,22112881,LT40,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,P-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_G3
568,LINGUA GIAPPONESE 2 MOD. 1_LT40_S-Z,I Semestre,7076506,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,7,S-Z,3,a scelta,Docente a contratto,,LT40_G2
569,LINGUA GIAPPONESE 2 MOD. 1_LT40_A-C,I Semestre,7076506,LT40,2,VENEZIA,San Sebastiano,G,5,A-C,3,a scelta,Docente a contratto,,LT40_G2
570,LINGUA GIAPPONESE MOD. 1_LT40,I Semestre,7076506,LT40,2,VENEZIA,San Sebastiano,C,5,NO,3,a scelta,Docente a contratto,,LT40_C2
571,INFORMATICA (GIAPPONE)_LM40,I Semestre,7076506,LM40,1,VENEZIA,San Sebastiano,LEIG,2,NO,3,Obbligatorio,Docente a contratto,,LM40_LEIG1
572,LINGUA GIAPPONESE 2 MOD. 2_LT40_A-C,II Semestre,10482975,LT40,2,VENEZIA,San Sebastiano,G,5,A-C,3,a scelta,,,LT40_G2
573,LINGUA GIAPPONESE 1 MOD. 2_LT40_A-C,II Semestre,10482975,LT40,1,VENEZIA,San Sebastiano,G,5,A-C,3,Obbligatorio,,,LT40_G1
574,LINGUA GIAPPONESE 1 MOD. 2_LM20,II Semestre,10482975,LM20,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),G,5,NO,3,Obbligatorio,,,LM20_G1
575,LINGUA GIAPPONESE 1 MOD. 2_LM40,II Semestre,10482975,LM40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),LEIG,5,NO,3,Obbligatorio,,,LM40_LEIG1
576,CONSERVATION BIOLOGY: HISTORY AND PRINCIPLES_LM10,I Semestre,5591363,LM10,2,VENEZIA,Palazzo Moro,GGG,3,NO,3,a scelta,Professore Ordinario,,LM10_GGG2
577,BIOLOGIA E GESTIONE DELLA FAUNA_CM5,II Semestre,5591363,CM5,1,VENEZIA,Campus scientifico via Torino (edificio Delta),CAP,2,NO,3,Obbligatorio,Professore Ordinario,,CM5_CAP1
578,LABORATORIO DI BIODIVERSITÀ - ATTIVITÀ TEORICA_CT5,II Semestre,5591363,CT5,1,VENEZIA,Campus scientifico via Torino (edificio Delta),GGG,7,NO,1,Obbligatorio,Professore Ordinario,,CT5_GGG1
579,PRINCIPI DI BIOLOGIA ANIMALE E VEGETALE - MODULO BIOLOGIA ANIMALE_CT5,I Semestre,5591363,CT5,1,VENEZIA,Campus scientifico via Torino (edificio Delta),GGG,5,NO,3,Obbligatorio,Professore Ordinario,,CT5_GGG1
580,STORIA DELLA FILOSOFIA E DELLE RELIGIONI DELLA CINA 2_LT40_M-Z,II Semestre,20255450,LT40,2,VENEZIA,Santa Marta,C,8,M-Z,3,a scelta,Assegnista,,LT40_C2
581,STORIA DELLA FILOSOFIA E DELLE RELIGIONI DELLA CINA 2_LT40_A-L,II Semestre,20255450,LT40,2,VENEZIA,Rio Nuovo,C,7,A-L,3,a scelta,Assegnista,,LT40_C2
582,INTRODUZIONE ALLA LINGUA E ALLA CULTURA CINESE_LT40,I Semestre,20255450,LT40,1,VENEZIA,San Sebastiano,SEA,2,NO,3,Obbligatorio,Assegnista,,LT40_SEA1
583,INTRODUZIONE ALL'ECONOMIA DELL'ARTE E DELLA CULTURA I_FT1,3° Periodo,5590597,FT1,1,,Polo didattico San Basilio (Magazzino 5),E00,7,NO,3,Obbligatorio,Docente a contratto,,FT1_E001
584,ECONOMIA PER I BENI CULTURALI_CT60,3° Periodo,5590597,CT60,2,,Polo didattico San Basilio (Magazzino 5),GGG,7,NO,3,Obbligatorio,Docente a contratto,,CT60_GGG2
585,INTRODUCTION TO ECONOMICS_LT6,II Semestre,5590597,LT6,1,,Palazzo Moro,GGG,3,NO,3,Obbligatorio,Docente a contratto,,LT6_GGG1
586,INTRODUZIONE ALL'ECONOMIA DELL'ARTE E DELLA CULTURA II_FT1,4° Periodo,10398463,FT1,1,,San Sebastiano,E00,5,NO,3,Obbligatorio,Ricercatore,,FT1_E001
587,ARTS ECONOMICS I_EM3,3° Periodo,10398463,EM3,1,,San Sebastiano,I00,5,NO,3,Obbligatorio,Ricercatore,,EM3_I001
588,ARTS ECONOMICS II_EM3,4° Periodo,10398463,EM3,1,,San Sebastiano,I00,3,NO,3,Obbligatorio,Ricercatore,,EM3_I001
589,STORIA DELLA CINA MODERNA E CONTEMPORANEA_FM7,I Semestre,5591447,FM7,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),GGG,5,NO,3,a scelta,Professoressa Ordinaria,,FM7_GGG1
590,STORIA DELLA CINA MODERNA E CONTEMPORANEA_LM20,I Semestre,5591447,LM20,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,NO,3,a scelta,Professoressa Ordinaria,,LM20_C1
591,STORIA DELLA CINA MODERNA E CONTEMPORANEA_FM10,I Semestre,5591447,FM10,3,VENEZIA,Polo didattico San Basilio (Magazzino 5),ASIA,5,NO,3,a scelta,Professoressa Ordinaria,,FM10_ASIA3
592,STORIA DELLA CINA 2_LT40_A-L,I Semestre,5591447,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,7,A-L,3,a scelta,Professoressa Ordinaria,,LT40_C2
593,STORIA DELLA CINA 2_LT40_M-Z,I Semestre,5591447,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),C,8,M-Z,3,a scelta,Professoressa Ordinaria,,LT40_C2
594,STORIA DELLA CINA CONTEMPORANEA_FM10,I Semestre,5591447,FM10,3,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SG,5,NO,3,Obbligatorio,Professoressa Ordinaria,,FM10_SG3
595,STORIA DELLA CINA CONTEMPORANEA_LM40,I Semestre,5591447,LM40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),LISIC,5,NO,3,Obbligatorio,Professoressa Ordinaria,,LM40_LISIC1
596,TRATTAMENTO RIFIUTI SOLIDI E GASSOSI_CM10,I Semestre,24647681,CM10,2,TREVISO,Treviso - Palazzo San Paolo,GGG,2,NO,3,a scelta,Ricercatore,,CM10_GGG2
